year,month,breast augmentation: (United States),breast implant: (United States),breast augmentation: (Australia),breast implant: (Australia),breast augmentation: (South Africa),breast implant: (South Africa),implantes mamarios: (Argentina)
2004,1,98,36,64,30,33,0,51
2004,2,97,31,77,15,29,30,46
2004,3,93,35,52,24,36,0,76
2004,4,100,43,42,36,31,31,38
2004,5,94,42,39,55,30,0,31
2004,6,88,44,45,20,100,0,42
2004,7,96,38,60,30,0,0,32
2004,8,94,36,72,28,21,0,28
2004,9,95,31,47,23,24,0,63
2004,10,81,32,41,30,33,29,66
2004,11,87,30,39,23,32,24,59
2004,12,82,31,67,40,0,57,46
2005,1,85,35,70,30,0,0,48
2005,2,87,34,79,36,20,0,49
2005,3,93,35,45,28,18,16,42
2005,4,91,48,48,39,18,22,37
2005,5,89,30,30,33,0,13,51
2005,6,84,31,61,25,17,25,25
2005,7,91,33,47,32,40,14,58
2005,8,79,25,75,25,12,24,45
2005,9,64,21,44,30,34,0,64
2005,10,67,27,47,32,12,14,36
2005,11,65,26,36,31,21,12,63
2005,12,69,26,51,31,43,17,45
2006,1,86,26,57,21,21,11,55
2006,2,80,26,49,17,25,10,90
2006,3,81,27,46,21,10,9,98
2006,4,86,31,55,31,10,0,42
2006,5,76,27,66,39,8,21,53
2006,6,85,29,47,21,22,0,38
2006,7,82,29,71,16,26,9,52
2006,8,73,25,50,19,28,7,47
2006,9,64,23,55,15,38,7,43
2006,10,76,28,54,34,21,0,81
2006,11,73,31,47,17,17,14,79
2006,12,71,23,58,35,27,9,100
2007,1,81,26,57,11,18,9,71
2007,2,84,25,42,24,13,6,78
2007,3,82,27,54,21,12,9,61
2007,4,83,27,49,31,13,0,64
2007,5,89,26,60,28,20,0,64
2007,6,83,24,39,13,20,0,54
2007,7,88,29,60,22,16,10,57
2007,8,80,27,52,22,17,11,71
2007,9,70,27,61,29,17,5,70
2007,10,69,24,70,30,19,14,74
2007,11,63,22,53,17,13,0,53
2007,12,59,23,48,18,18,10,48
2008,1,68,23,49,27,17,4,74
2008,2,70,24,44,23,12,6,72
2008,3,74,29,43,26,7,5,44
2008,4,67,23,56,23,12,4,42
2008,5,65,26,44,25,18,6,64
2008,6,61,24,52,30,14,3,64
2008,7,57,24,45,26,26,13,48
2008,8,57,24,46,22,13,6,47
2008,9,55,18,53,14,12,4,60
2008,10,56,23,57,34,16,4,56
2008,11,59,21,59,23,13,3,52
2008,12,51,20,53,27,8,8,52
2009,1,62,21,49,19,17,3,35
2009,2,67,24,53,17,12,5,61
2009,3,70,26,71,23,9,5,40
2009,4,65,24,63,25,22,12,28
2009,5,67,24,58,26,17,3,32
2009,6,66,22,55,19,17,3,33
2009,7,62,21,64,27,11,5,44
2009,8,61,21,64,26,20,3,42
2009,9,49,19,67,25,10,3,45
2009,10,48,19,82,26,23,4,41
2009,11,51,19,64,20,16,4,26
2009,12,49,19,62,27,10,0,21
2010,1,60,23,76,23,21,4,21
2010,2,63,24,56,17,12,3,29
2010,3,65,23,61,21,15,3,26
2010,4,62,22,55,29,18,5,40
2010,5,65,21,57,18,8,5,30
2010,6,66,21,61,25,19,6,33
2010,7,61,21,57,30,11,3,25
2010,8,54,20,57,29,7,3,36
2010,9,45,17,67,23,14,7,34
2010,10,43,15,59,25,8,4,30
2010,11,43,15,65,27,15,0,33
2010,12,45,17,61,32,7,8,18
2011,1,66,22,70,26,19,5,31
2011,2,64,22,49,26,10,3,29
2011,3,65,23,55,20,15,2,22
2011,4,61,22,55,19,15,2,24
2011,5,61,21,55,28,9,3,28
2011,6,63,23,63,26,12,2,24
2011,7,72,24,51,28,9,1,29
2011,8,58,21,77,25,15,3,27
2011,9,54,21,71,31,14,4,34
2011,10,50,19,65,31,13,2,28
2011,11,52,19,72,21,15,3,22
2011,12,51,20,45,39,10,3,37
2012,1,63,23,69,60,11,2,42
2012,2,65,23,64,34,14,2,30
2012,3,67,22,57,40,14,4,19
2012,4,73,23,62,32,10,4,28
2012,5,69,21,61,26,9,2,30
2012,6,67,21,64,25,9,2,20
2012,7,65,21,73,29,12,2,30
2012,8,58,19,82,29,10,2,25
2012,9,58,19,86,30,13,3,21
2012,10,49,16,83,29,10,3,23
2012,11,48,18,82,27,11,3,24
2012,12,48,16,72,28,16,2,25
2013,1,62,21,90,30,13,2,38
2013,2,64,19,72,24,12,2,32
2013,3,71,21,78,31,10,3,24
2013,4,68,21,83,34,9,1,22
2013,5,63,20,76,31,10,2,21
2013,6,65,20,76,28,11,3,24
2013,7,61,18,83,23,11,2,32
2013,8,58,18,83,27,14,3,24
2013,9,51,17,81,33,12,2,28
2013,10,49,17,87,32,11,2,29
2013,11,50,18,92,31,13,3,18
2013,12,48,16,86,27,9,2,13
2014,1,54,19,92,33,9,2,27
2014,2,58,18,88,29,7,2,25
2014,3,62,18,81,28,7,2,20
2014,4,66,20,84,28,7,3,12
2014,5,59,19,88,28,9,2,14
2014,6,58,19,86,36,8,2,13
2014,7,60,22,81,31,9,2,21
2014,8,50,18,99,36,6,3,21
2014,9,44,19,95,33,8,2,21
2014,10,41,16,100,33,8,2,18
2014,11,40,15,95,35,10,3,22
2014,12,39,14,87,30,10,1,23
2015,1,48,19,91,30,6,2,26
2015,2,53,17,89,28,6,3,25
2015,3,48,18,69,32,8,2,19
2015,4,50,18,66,30,8,2,16
2015,5,50,18,62,30,7,4,17
2015,6,53,19,78,29,7,3,17
2015,7,53,18,76,33,8,2,18
2015,8,45,17,80,32,9,2,25
2015,9,41,16,92,36,8,2,15
2015,10,40,17,87,30,10,2,18
2015,11,38,15,77,26,9,2,21
2015,12,38,15,73,25,10,2,17
2016,1,59,20,76,32,9,4,22
2016,2,57,20,80,28,6,1,15
2016,3,59,20,71,29,8,1,11
2016,4,57,20,65,27,5,2,13
2016,5,54,20,64,30,6,1,10
2016,6,53,21,65,31,8,3,13
2016,7,54,23,62,31,7,2,20
2016,8,48,19,69,27,9,1,13
2016,9,45,17,75,28,7,2,17
2016,10,46,17,78,27,7,2,17
2016,11,46,16,81,27,8,3,15
2016,12,44,17,66,27,6,1,10
2017,1,54,20,76,29,8,2,21
2017,2,51,20,72,27,6,2,14
2017,3,55,22,69,28,5,2,16
2017,4,57,21,75,29,7,3,10
2017,5,53,19,73,29,5,1,14
2017,6,53,20,72,28,5,2,12
2017,7,56,21,70,27,6,3,19
2017,8,46,19,69,33,5,2,18
2017,9,43,17,81,32,6,2,18
2017,10,44,17,75,29,8,2,15
2017,11,42,17,69,23,7,2,14
2017,12,41,16,70,26,7,3,12
2018,1,53,18,75,22,7,4,22
